,,Template Number,,,,,,,,,,
,,7,31,40,41,48,115,160,172,173,211,Average
Pattern Number,1,135.960416,143.02279,145.907401,156.706013,146.629887,141.376602,146.263295,177.993387,139.532004,142.007833,147.5399628
,2,147.402762,159.780147,164.487669,158.982089,163.020591,199.092112,160.11541,180.516541,142.02759,162.528509,163.795342
,3,160.495193,162.190444,167.473088,162.636624,165.83514,209.9137,162.439814,186.408331,144.504482,208.314373,173.0211189
,4,170.321342,176.25223,281.512659,211.032428,203.858157,212.391223,165.129197,191.563186,149.173753,231.030829,199.2265004
,5,183.258102,179.672255,898.709923,271.04975,211.857799,225.203308,178.970568,204.309096,153.376442,340.304001,284.6711244
,6,246.144827,201.402565,1020.096494,282.670723,238.309399,237.422529,231.40813,212.671545,484.071077,487.205975,364.1403264
,7,249.075023,242.710158,1060.908019,301.528847,450.140821,259.763724,241.579899,214.853995,487.944222,510.936121,401.9440829
,8,251.456301,246.158191,1353.724768,315.403349,453.037759,263.248785,275.162926,217.184183,544.503024,527.335791,444.7215077
,9,265.238738,250.228639,1380.341574,351.118117,782.545393,265.940755,281.919707,231.209617,547.213195,541.204788,489.6960523
,10,271.137379,256.487131,1383.455774,362.064535,902.773725,273.604796,294.145964,328.442331,625.347263,639.52947,533.6988368
,11,279.750818,267.392301,1389.627569,395.539814,910.099466,284.64894,315.528081,368.712388,627.500967,641.788448,548.0588792
,12,444.566291,296.862552,1452.48584,399.044799,912.637819,287.399984,337.600645,390.841814,680.226495,651.074926,585.2741165
,13,448.748745,303.515882,1460.849324,407.133973,915.121997,289.980507,351.544139,401.593158,683.564531,653.274657,591.5326913
,14,498.725458,312.482929,1829.777044,411.201853,1222.376121,293.427298,398.766243,486.032862,728.060412,687.142706,686.7992926
,15,580.591078,315.410868,1832.746446,415.392431,1225.129528,305.070146,426.391163,496.047481,740.640601,1682.71794,802.0137682
