Back to index,,,
RWE AG Annual Report 2014,,,
,,,
Financial result1,,,
,,,
Û million,2014,2013,"+/_Û million"
Interest income,218,316,-98
Interest expenses,"-1,080","-1,103",23
Net interest,-862,-787,-75
Interest accretion to non-current provisions,"-1,114",-953,-161
Other financial result,128,-165,293
Financial result,"-1,848","-1,905",57
"1 Excluding discontinued operations (RWE Dea). Furthermore, prior-year figures adjusted due to the first-time application of IFRS 11; see page 41. ",,,
