model,data,runtime,solutions,propagations,nodes,failures,peak_depth,time,,obj,solution
rel_closed,pceec/NaryYearRel,0.011,136,26737,1103,416,3,0.01,,0,entity[0]  # 2entity[1]  # 1entity[2]  # 1 -- obj=0.000000
rel_closed,example/relinst,0.141,1649,41601,19113,7908,4,0.14,,0,entity[0]  # 879entity[1]  # 0 -- obj=0.000000
rel_closed,checkins/nary-modes-0,55:37.7,232749,11108541,5339057,2436780,5,6940.21,,0,entity[0]  # 224803entity[1]  # 0 -- obj=0.000000
rel_closed,imdb/1year,1.032,523,805403,20117,9536,4,1.02,,0,entity[0]  # 1entity[1]  # 98entity[2]  # 1 -- obj=0.000000
rel_closed,imdb/2years,7.446,1034,3139522,59099,28516,4,7.44,,0,entity[0]  # 1entity[1]  # 172entity[2]  # 1 -- obj=0.000000
rel_closed,imdb/5years,03:23.8,3695,33420244,416071,204341,5,203.85,,0,entity[0]  # 1entity[1]  # 332entity[2]  # 0 -- obj=0.000000
rel_closed,imdb/10years,32:29.1,8362,141448429,1744323,863800,5,1949.93,,0,entity[0]  # 1entity[1]  # 369entity[2]  # 0 -- obj=0.000000
rel_closed,imdb/20years,05:28.7,15295,422344589,5466571,2717991,6,11124.27,,0,entity[0]  # 1   entity[1]  # 376        entity[2]  # 0 -- obj=0.000000
rel_closed,imdb/30years,16:09.8,25507,874058955,11889357,5919172,7,36941.07,,0,entity[0]  # 1 entity[1]  # 544        entity[2]  # 0 -- obj=0.000000
,,,,,,,,,,,
model,data,runtime,solutions,propagations,nodes,failures,peak_depth,time,,obj,solution
rel_maxent -bnd naieve,pceec/NaryYearRel,0.099,5,26247,961,476,3,0.03,300%,0.6604,entity[0]  # 2entity[1]  # 1entity[2]  # 1 -- obj=0.660422
rel_maxent -bnd naieve,example/relinst,0.122,9,19618,5455,2719,3,0.12,85.71%,0.7511,entity[0]  # 30entity[1]  # 1 -- obj=0.751088
rel_maxent -bnd naieve,checkins/nary-modes-0,02:07.1,18,88140,23377,11671,4,126.95,1.83%,0.7889,entity[0]  # 3998entity[1]  # 1 -- obj=0.788910
rel_maxent -bnd naieve,imdb/1year,1.141,12,461019,13821,6899,4,1.14,111.76%,0.9843,entity[0]  # 1entity[1]  # 24entity[2]  # 1 -- obj=0.984270
